,Test set mean_absolute_error,Training set mean_absolute_error,Training set size,Mean absolute error
0,27.008195691116107,5.3290705182007514e-14,60,27.008195691116107
1,21.528104257282298,3.759955310063864e-14,60,21.528104257282298
2,19.28426555225257,5.302425165609748e-14,60,19.28426555225257
3,16.81731962719072,4.067857162226573e-14,60,16.81731962719072
4,20.04075837362597,7.792285335502432e-14,60,20.04075837362597
5,16.67335098543758,3.949433372933224e-14,60,16.67335098543758
6,22.456775019119,7.969921019442457e-14,60,22.456775019119
7,16.761667166421866,4.6007642140466485e-14,60,16.761667166421866
8,23.12337178667388,6.901146321069973e-14,60,23.12337178667388
9,16.385120478830355,5.1336712658667236e-14,60,16.385120478830355
10,20.81375052286766,4.7369515717340014e-14,60,20.81375052286766
11,20.073929702668455,4.331350093404277e-14,60,20.073929702668455
12,25.329851500010356,3.860615530963211e-14,60,25.329851500010356
13,21.845648235378363,3.848773152033876e-14,60,21.845648235378363
14,20.9316062873584,6.329751537729559e-14,60,20.9316062873584
15,17.92673100717904,4.239571656701931e-14,60,17.92673100717904
16,17.088167557940782,3.484619999956825e-14,60,17.088167557940782
17,23.962965616468825,4.4142467459096227e-14,60,23.962965616468825
18,20.8435516372122,5.411967170706096e-14,60,20.8435516372122
19,22.373181709536503,3.666326501653809e-14,60,22.373181709536503
20,15.970307785106689,5.160316618457728e-14,60,15.970307785106689
21,19.485228795548757,2.972437111263086e-14,60,19.485228795548757
22,23.377842515932826,3.4520534579011534e-14,60,23.377842515932826
23,21.52178653841589,7.223851146894351e-14,60,21.52178653841589
24,17.921191680200682,3.7333099574728596e-14,60,17.921191680200682
25,21.35273175388918,3.943512183468556e-14,60,21.35273175388918
26,23.871291661715432,4.061935972761906e-14,60,23.871291661715432
27,16.428383169366207,3.825088394175206e-14,60,16.428383169366207
28,25.982612669671393,5.678420696616134e-14,60,25.982612669671393
29,17.893358914807884,4.5356311299353065e-14,60,17.893358914807884
30,22.855070266361647,3.777718878457866e-14,60,22.855070266361647
31,16.08642412312803,4.77543930325434e-14,60,16.08642412312803
32,24.031011770262428,4.5474735088646414e-14,60,24.031011770262428
33,23.919148749863574,9.610090501155355e-14,60,23.919148749863574
34,15.864497638183632,4.813927034774679e-14,60,15.864497638183632
35,19.044637025850843,4.810966440042345e-14,60,19.044637025850843
36,22.951888923924745,3.860615530963211e-14,60,22.951888923924745
37,21.043715959599883,4.511946372076636e-14,60,21.043715959599883
38,14.956779612064445,6.92187048419631e-14,60,14.956779612064445
39,18.57026283254264,4.452734477429961e-14,60,18.57026283254264
40,23.17656952412553,4.147793219999585e-14,60,23.17656952412553
41,20.662258750512535,4.8909024978153566e-14,60,20.662258750512535
42,19.234999196047074,5.5067062021407764e-14,60,19.234999196047074
43,17.922624987246163,3.0553337637684307e-14,60,17.922624987246163
44,21.06664608424468,3.505344163083161e-14,60,21.06664608424468
45,16.819569987595465,3.6918616312201875e-14,60,16.819569987595465
46,18.375365562208465,4.337271282868945e-14,60,18.375365562208465
47,16.51863879910688,5.095183534346385e-14,60,16.51863879910688
48,17.745631032002617,4.138911435802584e-14,60,17.745631032002617
49,21.266468259482558,5.77019913331848e-14,60,21.266468259482558
50,23.944588209179038,4.073778351691241e-14,75,23.944588209179038
51,19.657822031633447,4.533262654149439e-14,75,19.657822031633447
52,18.33125884860353,4.343784591280079e-14,75,18.33125884860353
53,17.101961271033193,3.439026841078885e-14,75,17.101961271033193
54,19.32491095166787,3.761139547956797e-14,75,19.32491095166787
55,14.528280656102366,3.905616570894684e-14,75,14.528280656102366
56,22.510740483923357,3.491133308367959e-14,75,22.510740483923357
57,17.84694670617058,4.11404244005098e-14,75,17.84694670617058
58,20.999203604508963,3.913906236145219e-14,75,20.999203604508963
59,18.318687948129956,6.011191544530448e-14,75,18.318687948129956
60,16.392541625802917,3.249548778209525e-14,75,16.392541625802917
61,20.53095140041749,3.784824305815467e-14,75,20.53095140041749
62,26.439194839133375,3.751665644813329e-14,75,26.439194839133375
63,22.992987410290652,4.0027240781152313e-14,75,22.992987410290652
64,17.193402271929955,4.400628010140887e-14,75,17.193402271929955
65,14.965713650613091,4.286941172419271e-14,75,14.965713650613091
66,17.26145171706464,3.3656040917170077e-14,75,17.26145171706464
67,23.165598271133,3.742191741669861e-14,75,23.165598271133
68,19.58120882887972,5.39301936441916e-14,75,19.58120882887972
69,16.168937424697713,4.9027448767446915e-14,75,16.168937424697713
70,16.20595905954135,4.291678123991005e-14,75,16.20595905954135
71,16.995699658342563,3.770613451100265e-14,75,16.995699658342563
72,20.324062579575827,4.298783551348606e-14,75,20.324062579575827
73,19.77321441454591,3.4227435700510495e-14,75,19.77321441454591
74,16.448289564071708,3.680611371237319e-14,75,16.448289564071708
75,18.898690241238906,4.213518423057394e-14,75,18.898690241238906
76,25.047376508704946,4.9666937229631005e-14,75,25.047376508704946
77,19.24217898452438,3.967196941327226e-14,75,19.24217898452438
78,18.64879602209973,3.955354562397891e-14,75,18.64879602209973
79,16.727582512269354,3.879563337250147e-14,75,16.727582512269354
80,21.256759162284226,3.578766912445038e-14,75,21.256759162284226
81,16.04640836768635,4.562868601472777e-14,75,16.04640836768635
82,24.43375448492426,3.533765872513565e-14,75,24.43375448492426
83,23.386999232663758,4.642212540299321e-14,75,23.386999232663758
84,14.384844987497376,4.237203180916064e-14,75,14.384844987497376
85,18.601201284035323,4.4847089005391656e-14,75,18.601201284035323
86,21.91524630496859,3.813246015245871e-14,75,21.91524630496859
87,17.623711804882266,4.549841984650508e-14,75,17.623711804882266
88,16.022713148117603,4.166148907340054e-14,75,16.022713148117603
89,14.259261319984542,4.378127490175151e-14,75,14.259261319984542
90,21.954415996002904,6.055896524988688e-14,75,21.954415996002904
91,19.220310534717672,4.407733437498488e-14,75,19.220310534717672
92,18.705876537149898,3.784824305815467e-14,75,18.705876537149898
93,14.714986073479167,4.1400956736955174e-14,75,14.714986073479167
94,22.564214699421846,4.414838864856089e-14,75,22.564214699421846
95,15.88931333145939,3.917458949824019e-14,75,15.88931333145939
96,17.532043108074618,4.7789920169331403e-14,75,17.532043108074618
97,16.118481471337812,4.8459014578838835e-14,75,16.118481471337812
98,18.587632183795566,4.315362881849675e-14,75,18.587632183795566
99,19.79495497140643,6.965687286234848e-14,75,19.79495497140643
100,17.53822722555775,6.465938895416911e-14,90,17.53822722555775
101,16.04138627935645,8.179136380527375e-14,90,16.04138627935645
102,18.721892780787787,6.27251337290444e-14,90,18.721892780787787
103,20.76222220806222,5.4080197110629845e-14,90,20.76222220806222
104,16.2806492454131,6.529098249706698e-14,90,16.2806492454131
105,12.735912987148096,4.886955038172245e-14,90,12.735912987148096
106,17.26014483653681,8.198873678742934e-14,90,17.26014483653681
107,17.834240304304302,8.605462021983435e-14,90,17.834240304304302
108,17.58905038810232,9.06336734058439e-14,90,17.58905038810232
109,17.38070729957504,1.0273263721198116e-13,90,17.38070729957504
110,13.822089115503063,6.639627119713825e-14,90,13.822089115503063
111,16.885108914952024,8.925206253075481e-14,90,16.885108914952024
112,23.0099343707699,5.597497773932345e-14,90,23.0099343707699
113,20.475991554757574,5.834345352519044e-14,90,20.475991554757574
114,13.157908426421237,5.261963704267853e-14,90,13.157908426421237
115,12.077549109906967,4.784321087451341e-14,90,12.077549109906967
116,17.87927997730063,8.40414158018474e-14,90,17.87927997730063
117,21.086566557566137,7.162665522426121e-14,90,21.086566557566137
118,17.80740432706149,8.214663517315381e-14,90,17.80740432706149
119,10.852742324185762,5.356702735702533e-14,90,10.852742324185762
120,17.54703631800429,4.361942905638393e-14,90,17.54703631800429
121,18.831109393962667,1.0216025556372996e-13,90,18.831109393962667
122,12.683787287557076,8.037027833375356e-14,90,12.683787287557076
123,18.08552081171605,1.0879198776415757e-13,90,18.08552081171605
124,17.81295266898282,7.358064774760149e-14,90,17.81295266898282
125,12.103776107529695,7.867287068721554e-14,90,12.103776107529695
